CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;CATEG_DOC;ID_DOC;DT_RECEB;LINK_DOC
00.000.000/0001-91;2020-03-31;1;BCO BRASIL S.A.;001023;ITR;92782;2020-05-07;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=92782
00.000.000/0001-91;2020-06-30;1;BCO BRASIL S.A.;001023;ITR;95714;2020-08-06;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=95714
00.000.000/0001-91;2020-09-30;1;BCO BRASIL S.A.;001023;ITR;98051;2020-11-05;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=98051
00.000.208/0001-00;2020-03-31;1;BRB BCO DE BRASILIA S.A.;014206;ITR;93168;2020-05-15;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=93168
00.000.208/0001-00;2020-06-30;1;BRB BCO DE BRASILIA S.A.;014206;ITR;96358;2020-08-20;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=96358
00.000.208/0001-00;2020-09-30;1;BRB BCO DE BRASILIA S.A.;014206;ITR;98437;2020-11-13;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=98437
00.000.208/0001-00;2020-09-30;2;BRB BCO DE BRASILIA S.A.;014206;ITR;98826;2020-11-20;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=98826
00.000.208/0001-00;2020-09-30;3;BRB BCO DE BRASILIA S.A.;014206;ITR;98831;2020-11-20;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=98831
00.001.180/0001-26;2020-03-31;1;CENTRAIS ELET BRAS S.A. - ELETROBRAS;002437;ITR;93516;2020-05-28;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=93516
00.001.180/0001-26;2020-06-30;1;CENTRAIS ELET BRAS S.A. - ELETROBRAS;002437;ITR;95974;2020-08-12;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=95974
00.001.180/0001-26;2020-09-30;1;CENTRAIS ELET BRAS S.A. - ELETROBRAS;002437;ITR;98280;2020-11-11;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=98280
00.070.698/0001-11;2020-03-31;1;CIA ENERGETICA DE BRASILIA;014451;ITR;93603;2020-05-29;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=93603
00.070.698/0001-11;2020-06-30;1;CIA ENERGETICA DE BRASILIA;014451;ITR;96654;2020-08-28;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=96654
00.070.698/0001-11;2020-09-30;1;CIA ENERGETICA DE BRASILIA;014451;ITR;98494;2020-11-13;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=98494
00.192.769/0001-59;2020-03-31;1;NEUMARKT TRADE AND FINANCIAL CENTER S/A;014613;ITR;94374;2020-06-29;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=94374
00.192.769/0001-59;2020-06-30;1;NEUMARKT TRADE AND FINANCIAL CENTER S/A;014613;ITR;96504;2020-08-26;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=96504
00.192.769/0001-59;2020-09-30;1;NEUMARKT TRADE AND FINANCIAL CENTER S/A;014613;ITR;98099;2020-11-09;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=98099
00.272.185/0001-93;2020-03-31;1;CIMS S.A.;014818;ITR;93307;2020-05-20;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=93307
00.272.185/0001-93;2020-06-30;1;CIMS S.A.;014818;ITR;96293;2020-08-18;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=96293
00.272.185/0001-93;2020-09-30;1;CIMS S.A.;014818;ITR;98485;2020-11-13;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=98485
00.336.701/0001-04;2020-03-31;1;TELEC BRASILEIRAS S.A. TELEBRAS;011258;ITR;93776;2020-06-03;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=93776
00.336.701/0001-04;2020-06-30;1;TELEC BRASILEIRAS S.A. TELEBRAS;011258;ITR;96176;2020-08-14;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=96176
00.336.701/0001-04;2020-09-30;1;TELEC BRASILEIRAS S.A. TELEBRAS;011258;ITR;98058;2020-11-05;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=98058
00.336.701/0001-04;2020-09-30;2;TELEC BRASILEIRAS S.A. TELEBRAS;011258;ITR;98071;2020-11-06;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=98071
00.359.742/0001-08;2020-03-31;1;ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;015423;ITR;93400;2020-05-25;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=93400
00.359.742/0001-08;2020-06-30;1;ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;015423;ITR;95548;2020-07-31;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=95548
00.359.742/0001-08;2020-09-30;1;ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;015423;ITR;98137;2020-11-09;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=98137
