CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;CATEG_DOC;ID_DOC;DT_RECEB;LINK_DOC
00.000.000/0001-91;2017-03-31;1;BCO BRASIL S.A.;001023;ITR;65179;2017-05-11;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=65179
00.000.000/0001-91;2017-06-30;1;BCO BRASIL S.A.;001023;ITR;67703;2017-08-10;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=67703
00.000.000/0001-91;2017-09-30;1;BCO BRASIL S.A.;001023;ITR;69600;2017-11-09;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=69600
00.000.208/0001-00;2017-03-31;1;BRB BCO DE BRASILIA S.A.;014206;ITR;66187;2017-05-30;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=66187
00.000.208/0001-00;2017-06-30;1;BRB BCO DE BRASILIA S.A.;014206;ITR;68032;2017-08-14;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=68032
00.000.208/0001-00;2017-09-30;1;BRB BCO DE BRASILIA S.A.;014206;ITR;69717;2017-11-10;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=69717
00.001.180/0001-26;2017-03-31;1;CENTRAIS ELET BRAS S.A. - ELETROBRAS;002437;ITR;65463;2017-05-12;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=65463
00.001.180/0001-26;2017-06-30;1;CENTRAIS ELET BRAS S.A. - ELETROBRAS;002437;ITR;67810;2017-08-10;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=67810
00.001.180/0001-26;2017-06-30;2;CENTRAIS ELET BRAS S.A. - ELETROBRAS;002437;ITR;68128;2017-08-14;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=68128
00.001.180/0001-26;2017-09-30;1;CENTRAIS ELET BRAS S.A. - ELETROBRAS;002437;ITR;69882;2017-11-13;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=69882
00.070.698/0001-11;2017-03-31;1;CIA ENERGETICA DE BRASILIA;014451;ITR;65594;2017-05-15;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=65594
00.070.698/0001-11;2017-06-30;1;CIA ENERGETICA DE BRASILIA;014451;ITR;68012;2017-08-14;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=68012
00.070.698/0001-11;2017-09-30;1;CIA ENERGETICA DE BRASILIA;014451;ITR;69915;2017-11-14;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=69915
00.115.890/0001-87;2017-03-31;1;SHOPPING CENTER TACARUNA SA;015733;ITR;65474;2017-05-14;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=65474
00.115.890/0001-87;2017-06-30;1;SHOPPING CENTER TACARUNA SA;015733;ITR;67955;2017-08-14;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=67955
00.115.890/0001-87;2017-09-30;1;SHOPPING CENTER TACARUNA SA;015733;ITR;70171;2017-11-17;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=70171
00.192.769/0001-59;2017-03-31;1;NEUMARKT TRADE AND FINANCIAL CENTER S/A;014613;ITR;65330;2017-05-12;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=65330
00.192.769/0001-59;2017-06-30;1;NEUMARKT TRADE AND FINANCIAL CENTER S/A;014613;ITR;67704;2017-08-10;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=67704
00.192.769/0001-59;2017-09-30;1;NEUMARKT TRADE AND FINANCIAL CENTER S/A;014613;ITR;69498;2017-11-07;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=69498
00.272.185/0001-93;2017-03-31;1;CIMS S.A.;014818;ITR;65554;2017-05-15;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=65554
00.272.185/0001-93;2017-06-30;1;CIMS S.A.;014818;ITR;67980;2017-08-14;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=67980
00.272.185/0001-93;2017-09-30;1;CIMS S.A.;014818;ITR;69973;2017-11-14;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=69973
00.336.701/0001-04;2017-03-31;1;TELEC BRASILEIRAS S.A. TELEBRAS;011258;ITR;65481;2017-05-15;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=65481
00.336.701/0001-04;2017-06-30;1;TELEC BRASILEIRAS S.A. TELEBRAS;011258;ITR;67829;2017-08-11;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=67829
00.336.701/0001-04;2017-09-30;1;TELEC BRASILEIRAS S.A. TELEBRAS;011258;ITR;69736;2017-11-10;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=69736
00.354.053/0001-00;2017-03-31;1;KOSMOS COMÉRCIO DE VESTUÁRIO S/A - EM RECUPERAÇÃO JUDICIAL;015083;ITR;65316;2017-05-12;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=65316
00.354.053/0001-00;2017-06-30;1;KOSMOS COMÉRCIO DE VESTUÁRIO S/A - EM RECUPERAÇÃO JUDICIAL;015083;ITR;67732;2017-08-10;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=67732
00.354.053/0001-00;2017-09-30;1;KOSMOS COMÉRCIO DE VESTUÁRIO S/A - EM RECUPERAÇÃO JUDICIAL;015083;ITR;70521;2017-12-18;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=70521
00.354.053/0001-00;2017-09-30;2;KOSMOS COMÉRCIO DE VESTUÁRIO S/A - EM RECUPERAÇÃO JUDICIAL;015083;ITR;70529;2017-12-18;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=70529
