CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;CATEG_DOC;ID_DOC;DT_RECEB;LINK_DOC
00.000.000/0001-91;2014-03-31;1;BCO BRASIL S.A.;001023;ITR;36799;2014-05-07;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=36799
00.000.000/0001-91;2014-06-30;1;BCO BRASIL S.A.;001023;ITR;40531;2014-08-14;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=40531
00.000.000/0001-91;2014-09-30;1;BCO BRASIL S.A.;001023;ITR;42021;2014-11-05;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=42021
00.000.208/0001-00;2014-03-31;1;BRB BCO DE BRASILIA S.A.;014206;ITR;37168;2014-05-09;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=37168
00.000.208/0001-00;2014-03-31;2;BRB BCO DE BRASILIA S.A.;014206;ITR;37197;2014-05-12;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=37197
00.000.208/0001-00;2014-06-30;1;BRB BCO DE BRASILIA S.A.;014206;ITR;40844;2014-08-15;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=40844
00.000.208/0001-00;2014-09-30;1;BRB BCO DE BRASILIA S.A.;014206;ITR;42606;2014-11-14;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=42606
00.000.208/0001-00;2014-09-30;2;BRB BCO DE BRASILIA S.A.;014206;ITR;42811;2014-11-21;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=42811
00.001.180/0001-26;2014-03-31;1;CENTRAIS ELET BRAS S.A. - ELETROBRAS;002437;ITR;37908;2014-05-15;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=37908
00.001.180/0001-26;2014-06-30;1;CENTRAIS ELET BRAS S.A. - ELETROBRAS;002437;ITR;40388;2014-08-12;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=40388
00.001.180/0001-26;2014-09-30;1;CENTRAIS ELET BRAS S.A. - ELETROBRAS;002437;ITR;42694;2014-11-14;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=42694
00.070.698/0001-11;2014-03-31;1;CIA ENERGETICA DE BRASILIA;014451;ITR;40237;2014-08-08;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=40237
00.070.698/0001-11;2014-06-30;1;CIA ENERGETICA DE BRASILIA;014451;ITR;40612;2014-08-14;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=40612
00.070.698/0001-11;2014-09-30;1;CIA ENERGETICA DE BRASILIA;014451;ITR;42294;2014-11-12;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=42294
00.108.786/0001-65;2014-03-31;1;NET SERVIÇOS DE COMUNICAÇÃO S.A.;014621;ITR;37594;2014-05-14;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=37594
00.108.786/0001-65;2014-03-31;2;NET SERVIÇOS DE COMUNICAÇÃO S.A.;014621;ITR;37626;2014-05-14;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=37626
00.108.786/0001-65;2014-06-30;1;NET SERVIÇOS DE COMUNICAÇÃO S.A.;014621;ITR;40706;2014-08-14;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=40706
00.108.786/0001-65;2014-09-30;1;NET SERVIÇOS DE COMUNICAÇÃO S.A.;014621;ITR;42651;2014-11-14;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=42651
00.115.890/0001-87;2014-03-31;1;SHOPPING CENTER TACARUNA SA;015733;ITR;37794;2014-05-15;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=37794
00.115.890/0001-87;2014-06-30;1;SHOPPING CENTER TACARUNA SA;015733;ITR;40647;2014-08-14;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=40647
00.115.890/0001-87;2014-09-30;1;SHOPPING CENTER TACARUNA SA;015733;ITR;42393;2014-11-13;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=42393
00.192.769/0001-59;2014-03-31;1;NEUMARKT TRADE AND FINANCIAL CENTER S/A;014613;ITR;37697;2014-05-15;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=37697
00.192.769/0001-59;2014-06-30;1;NEUMARKT TRADE AND FINANCIAL CENTER S/A;014613;ITR;40453;2014-08-13;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=40453
00.192.769/0001-59;2014-09-30;1;NEUMARKT TRADE AND FINANCIAL CENTER S/A;014613;ITR;42495;2014-11-14;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=42495
00.272.185/0001-93;2014-03-31;1;CIMS S.A.;014818;ITR;37845;2014-05-15;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=37845
00.272.185/0001-93;2014-06-30;1;CIMS S.A.;014818;ITR;40622;2014-08-14;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=40622
00.272.185/0001-93;2014-09-30;1;CIMS S.A.;014818;ITR;42621;2014-11-14;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=42621
00.336.701/0001-04;2014-03-31;1;TELEC BRASILEIRAS S.A. TELEBRAS;011258;ITR;43983;2015-02-10;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=43983
00.336.701/0001-04;2014-03-31;2;TELEC BRASILEIRAS S.A. TELEBRAS;011258;ITR;44158;2015-02-19;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=44158
00.336.701/0001-04;2014-06-30;1;TELEC BRASILEIRAS S.A. TELEBRAS;011258;ITR;44321;2015-02-26;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=44321
00.336.701/0001-04;2014-09-30;1;TELEC BRASILEIRAS S.A. TELEBRAS;011258;ITR;44858;2015-03-09;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=44858
00.354.053/0001-00;2014-03-31;1;KOSMOS COMÉRCIO DE VESTUÁRIO S/A - EM RECUPERAÇÃO JUDICIAL;015083;ITR;37435;2014-05-13;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=37435
00.354.053/0001-00;2014-06-30;1;KOSMOS COMÉRCIO DE VESTUÁRIO S/A - EM RECUPERAÇÃO JUDICIAL;015083;ITR;40415;2014-08-13;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=40415
00.354.053/0001-00;2014-09-30;1;KOSMOS COMÉRCIO DE VESTUÁRIO S/A - EM RECUPERAÇÃO JUDICIAL;015083;ITR;42271;2014-11-12;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=42271
00.359.742/0001-08;2014-03-31;1;ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;015423;ITR;37871;2014-05-15;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=37871
00.359.742/0001-08;2014-06-30;1;ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;015423;ITR;40678;2014-08-14;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=40678
00.359.742/0001-08;2014-09-30;1;ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;015423;ITR;42761;2014-11-18;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=42761
00.383.281/0001-09;2014-03-31;1;BNDES PARTICIPACOES S.A. - BNDESPAR;016772;ITR;37736;2014-05-15;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=37736
00.383.281/0001-09;2014-06-30;1;BNDES PARTICIPACOES S.A. - BNDESPAR;016772;ITR;40620;2014-08-14;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=40620
00.383.281/0001-09;2014-06-30;2;BNDES PARTICIPACOES S.A. - BNDESPAR;016772;ITR;41009;2014-08-25;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=41009
00.383.281/0001-09;2014-09-30;1;BNDES PARTICIPACOES S.A. - BNDESPAR;016772;ITR;42225;2014-11-11;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=42225
00.514.998/0001-42;2014-03-31;1;ELETRON S.A.;016209;ITR;37082;2014-05-09;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=37082
00.514.998/0001-42;2014-06-30;1;ELETRON S.A.;016209;ITR;40057;2014-08-04;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=40057
00.514.998/0001-42;2014-09-30;1;ELETRON S.A.;016209;ITR;42036;2014-11-05;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=42036
00.545.378/0001-70;2014-03-31;1;SERRA AZUL WATER PARK SA;014966;ITR;38079;2014-05-21;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=38079
00.545.378/0001-70;2014-06-30;1;SERRA AZUL WATER PARK SA;014966;ITR;43093;2014-12-15;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=43093
00.545.378/0001-70;2014-09-30;1;SERRA AZUL WATER PARK SA;014966;ITR;43091;2014-12-12;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=43091
00.622.416/0001-41;2014-03-31;1;STATKRAFT ENERGIAS RENOVAVEIS S.A.;022594;ITR;37928;2014-05-15;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=37928
00.622.416/0001-41;2014-06-30;1;STATKRAFT ENERGIAS RENOVAVEIS S.A.;022594;ITR;40617;2014-08-14;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=40617
00.622.416/0001-41;2014-09-30;1;STATKRAFT ENERGIAS RENOVAVEIS S.A.;022594;ITR;42574;2014-11-14;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=42574
00.644.907/0001-93;2014-03-31;1;INVESTCO S.A.;018589;ITR;37161;2014-05-09;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=37161
00.644.907/0001-93;2014-06-30;1;INVESTCO S.A.;018589;ITR;39996;2014-07-30;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=39996
00.644.907/0001-93;2014-09-30;1;INVESTCO S.A.;018589;ITR;41872;2014-10-29;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=41872
00.649.881/0001-76;2014-03-31;1;GTD PARTICIPACOES SA;014915;ITR;37625;2014-05-14;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=37625
00.649.881/0001-76;2014-03-31;2;GTD PARTICIPACOES SA;014915;ITR;40318;2014-08-11;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=40318
00.649.881/0001-76;2014-06-30;1;GTD PARTICIPACOES SA;014915;ITR;40788;2014-08-14;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=40788
