CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;CATEG_DOC;ID_DOC;DT_RECEB;LINK_DOC
00.000.000/0001-91;2016-03-31;1;BCO BRASIL S.A.;001023;ITR;56107;2016-05-12;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=56107
00.000.000/0001-91;2016-06-30;1;BCO BRASIL S.A.;001023;ITR;58758;2016-08-11;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=58758
00.000.000/0001-91;2016-09-30;1;BCO BRASIL S.A.;001023;ITR;60596;2016-11-10;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=60596
00.000.208/0001-00;2016-03-31;1;BRB BCO DE BRASILIA S.A.;014206;ITR;56566;2016-05-16;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=56566
00.000.208/0001-00;2016-06-30;1;BRB BCO DE BRASILIA S.A.;014206;ITR;59383;2016-08-25;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=59383
00.000.208/0001-00;2016-09-30;1;BRB BCO DE BRASILIA S.A.;014206;ITR;61024;2016-11-14;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=61024
00.000.208/0001-00;2016-09-30;2;BRB BCO DE BRASILIA S.A.;014206;ITR;61074;2016-11-16;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=61074
00.001.180/0001-26;2016-03-31;1;CENTRAIS ELET BRAS S.A. - ELETROBRAS;002437;ITR;56095;2016-05-11;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=56095
00.001.180/0001-26;2016-06-30;1;CENTRAIS ELET BRAS S.A. - ELETROBRAS;002437;ITR;59217;2016-08-15;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=59217
00.001.180/0001-26;2016-09-30;1;CENTRAIS ELET BRAS S.A. - ELETROBRAS;002437;ITR;60586;2016-11-09;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=60586
