CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;CATEG_DOC;ID_DOC;DT_RECEB;LINK_DOC
00.000.000/0001-91;2018-03-31;1;BCO BRASIL S.A.;001023;ITR;74121;2018-05-10;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=74121
00.000.000/0001-91;2018-06-30;1;BCO BRASIL S.A.;001023;ITR;76836;2018-08-09;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=76836
00.000.000/0001-91;2018-09-30;1;BCO BRASIL S.A.;001023;ITR;78776;2018-11-08;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=78776
00.000.208/0001-00;2018-03-31;1;BRB BCO DE BRASILIA S.A.;014206;ITR;74736;2018-05-15;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=74736
00.000.208/0001-00;2018-06-30;1;BRB BCO DE BRASILIA S.A.;014206;ITR;77660;2018-08-30;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=77660
00.000.208/0001-00;2018-09-30;1;BRB BCO DE BRASILIA S.A.;014206;ITR;79331;2018-11-14;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=79331
00.000.208/0001-00;2018-09-30;2;BRB BCO DE BRASILIA S.A.;014206;ITR;79452;2018-11-20;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=79452
00.001.180/0001-26;2018-03-31;1;CENTRAIS ELET BRAS S.A. - ELETROBRAS;002437;ITR;74821;2018-05-15;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=74821
00.001.180/0001-26;2018-06-30;1;CENTRAIS ELET BRAS S.A. - ELETROBRAS;002437;ITR;77330;2018-08-14;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=77330
00.001.180/0001-26;2018-09-30;1;CENTRAIS ELET BRAS S.A. - ELETROBRAS;002437;ITR;79024;2018-11-12;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=79024
